t,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon
January 1 2005,136678.4,63867.3,509686.4,83864.1,1152497.2,403897.7,28966.3,539054.9,142152.4,156814
April 1 2005,140495.9,64350.5,511460,84258.6,1164319.6,404442.8,29103.9,542597.1,143785.5,157084.6
July 1 2005,140207.7,64713.7,516174.8,83576.5,1177323.4,408692.4,29076.7,546787.8,143898.7,158999.2
October 1 2005,141397.4,64494.1,516673.5,83600.8,1190063.7,412932.6,29280.1,546539.1,142453.5,160953.5
January 1 2006,144320.4,65186.8,520380.4,85724.2,1208209.7,429257,29708.5,541979.8,157797.2,166206.2
April 1 2006,146119.5,65114.1,526500.5,85774.4,1198950.8,432549.3,30387.3,542732,152020.3,166619.2
July 1 2006,145000,65679,523328.6,85702.5,1190250.9,432221.7,30282,541033.5,150401.7,168538.1
October 1 2006,145397.6,67799.9,526015.2,86361.5,1202204,436327.4,30668.2,538972.9,150416.7,170285.4
January 1 2007,144277.8,65246.9,520567.3,85867.8,1239201,437559.7,30835.5,540309.5,152084.7,167572.3
April 1 2007,143494,66520.1,526589.3,86621.3,1199565.8,434785.1,31346.9,540065.8,154576.5,169649
July 1 2007,143901.9,65409.1,526516.9,87242,1192113.9,434127.6,31841.2,542097.2,157563.5,172518.2
October 1 2007,145945.4,65615.4,533584.1,86313.2,1180022.3,439276.2,32646.6,543172.2,157634.3,174714.5
January 1 2008,142225.5,65817.9,539234.8,84850.1,1192548.5,448607.3,33493.9,544687.4,157377.8,174360.8
April 1 2008,140010.7,65576.8,538725.4,85001.4,1176791.1,452097.3,33985.2,548006.8,160538.3,175752.6
July 1 2008,138875.2,65139.9,534066.6,85599.8,1179509.3,449267.6,34616.5,539860.8,161126.7,175375.8
October 1 2008,134341.9,63532.6,520188.2,88455.8,1153034.5,437708.8,34522.9,516243.8,166403,170331.1
January 1 2009,129916.6,63522.1,510431.3,88324.4,1172298.1,418774.9,34994.3,514426,161980.5,168639.9
April 1 2009,127142.8,63553.5,507239.9,87277.5,1224962.3,423646.3,34635.6,506289.4,158879.8,166215.6
July 1 2009,125790.8,65289.6,511419.8,87538.7,1239974,429705,35318.3,506322.9,159528.5,166173.6
October 1 2009,126119.3,65433.2,515507.4,87529.1,1255683.3,436305,35224.4,509824.4,156553.8,165583.6
January 1 2010,126407.6,65121.7,517412.8,86334.3,1270161.4,429355.8,36167.6,511709.8,156125.7,169374
April 1 2010,128461.2,66845.5,515796.5,86317.2,1287498.2,431558.9,37462.4,517918,159446.9,167834.5
July 1 2010,130031.7,66931,517944.9,86703.8,1267427.7,433123.1,38178.2,525378.3,160642.1,169143.9
October 1 2010,130408.3,66867.8,515203.1,88661.4,1252858.8,439579.3,38977.7,529372.7,160691.2,169710.8
January 1 2011,128949.8,65923.3,506349.8,85516.4,1277405.3,437496.2,39171.3,531411.1,159088.8,173182.7
April 1 2011,130954.6,66968.8,510230.8,86939.1,1263523,442904.9,40588.5,535743,163350.7,173741.4
July 1 2011,129571.2,66615.9,509729.8,87403.8,1259540,437318,42204.3,539447.4,167155.4,172641
October 1 2011,129458.4,67852.3,517403.7,88806,1276511.1,438634.6,45805.2,548211.8,171017.2,175967.4
January 1 2012,129196.6,67025.7,521666.5,87998.2,1297996.2,443738.3,48490.9,540658.6,172504.2,175969.3
April 1 2012,128408.4,67300.4,519517.3,88893.9,1318413.2,438380.6,51617.2,542998.1,173927.7,175518.3
July 1 2012,127871.8,67841.7,522842.7,87400.4,1330304.8,439700.3,52563.2,541594.4,172876.1,174841.9
October 1 2012,126695,68588.9,514956.9,86113.6,1343077.7,436464.7,52709.2,538026.1,174627,171643.1
January 1 2013,128402.9,68834.1,527213.2,86510.5,1308394,441701,51396.6,547636.8,176670.6,174056.8
April 1 2013,127290.5,68607.5,521725.9,86222,1314834.1,442695.3,51933.4,546969.6,176230.6,174615.4
