t,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,New England,Mideast,Great Lakes,Plains,Southeast,Southwest,Rocky Mountain,Far West
January 1 2005,14771602,179355.5,44760.5,255921.4,103203.5,1959066.5,249467.8,240783.5,59167,99815.7,793185.8,442264.9,67652.1,54275.9,683764.9,282825.8,143221.1,121598.3,165875.4,245844.9,53293.3,300352.8,387783.1,451129.4,279679.3,94015.6,259372.6,36793.7,87302.1,136678.4,63867.3,509686.4,83864.1,1152497.2,403897.7,28966.3,539054.9,142152.4,156814,581956,51620,165213,35923.1,261777.8,1130715.4,106441.1,26862.4,408116.2,339462.3,65018,260200,32966.4,824105,2703574.2,2217472.8,956367.2,3327316.6,1612451,480069.3,2703855.2
April 1 2005,14839782,181373,45182.9,261073.7,103855.9,1976140,250972.5,242272.3,57875.9,100085.8,799832.4,444204,68161.8,55116.3,683702.1,285195.7,144038.1,122315.9,168425.9,248686.6,53439.3,303643.5,388621.4,452208.8,280474.9,94198.2,261193.1,36734.3,88181.6,140495.9,64350.5,511460,84258.6,1164319.6,404442.8,29103.9,542597.1,143785.5,157084.6,585549.2,52320.5,166163.5,35685.8,262708.8,1126781.7,107672.4,26757.2,413604.8,342858.6,66030.3,261519.1,33646,827634.6,2723063.8,2225697.9,961278.5,3353177,1615706.7,484236.1,2729194.6
July 1 2005,14972054,181292.6,44829,267038.7,104669.7,2004193.3,252697.5,241897.2,57893.6,100021.1,816814.9,445346.6,68782.7,56129.5,688056,286887.7,145072.6,123365.4,170058.6,244213.3,53605,309318.4,392885.7,449399.7,285443.1,94831.5,262210.8,37088.4,89362.7,140207.7,64713.7,516174.8,83576.5,1177323.4,408692.4,29076.7,546787.8,143898.7,158999.2,591428.5,52330.7,166976.4,35935.6,266316.9,1130822.7,109997.1,26934,419224.1,342176.5,65497.2,264704.8,32745.4,832296.7,2752312.4,2236193.3,970777.2,3384333.3,1625083.8,488786.4,2758643.4
October 1 2005,15066597,183522.6,45434,268210,106884.1,2021163.3,250220.8,244988.5,64957.5,99896,815521.3,450317.5,69665.4,56026.6,688063.8,287058.4,143173.3,121751.6,170860.7,243347.6,54112.3,310658.6,393878.9,450245.7,282778.8,97866.7,263343.9,37692,90729.4,141397.4,64494.1,516673.5,83600.8,1190063.7,412932.6,29280.1,546539.1,142453.5,160953.5,593285.7,52993.9,167942.9,36084.6,267805.3,1142864.7,112471.8,27084.2,419402.3,348950.5,65649.9,262219.3,33125.3,837431.2,2775762.5,2234476.8,967407.9,3402587.7,1636824.5,489560.3,2786958.7
January 1 2006,15267026,183884.5,46682.9,274037.7,106395.5,2069332.5,255571,252521,61390.7,100122,830312.7,448496.7,69781.8,57432,702154.1,289640.1,144900.5,127889.1,173060,244425.1,54166.1,310558.2,395640.7,444060.5,282967.1,96356.4,262985.2,37679.5,90056.3,144320.4,65186.8,520380.4,85724.2,1208209.7,429257,29708.5,541979.8,157797.2,166206.2,586000.1,52546.5,169871.6,36285.6,269900.3,1185235.2,115652.1,27378.9,424899.6,353388.7,66220.2,265889.8,35486.5,847233.3,2786911.8,2243956,975043.5,3443649.2,1702553.5,501829.7,2849236
April 1 2006,15302705,185071.6,48226.1,274942.9,107870.8,2061917.5,254130.1,250059.3,62194.5,99912.7,832427,448768.1,70321.3,58100.5,703765,290560.3,146074,129176.5,174099.7,243788.1,54511,310764.1,397196,445310.6,284729.6,97919,264967.3,38183.1,93161,146119.5,65114.1,526500.5,85774.4,1198950.8,432549.3,30387.3,542732,152020.3,166619.2,590270.9,53723.4,170060.8,36624.9,272447.5,1201746,117641.8,27210.1,423792.4,354382.6,66486.7,266232.5,36948.1,847642.6,2788798.1,2248852,985294.1,3455772.9,1714217,504910.2,2847037.7
July 1 2006,15326368,185017.6,48812.8,278323.4,107027,2072917.1,257421.7,250320.2,61658.9,101192.5,833259.7,450783.9,70803.9,57054.6,703594.1,291483.4,145302.4,128600.1,173393.1,242432.8,54191.4,312219.9,395712.8,443335.5,280167.8,98000.5,262468,38721.7,90957,145000,65679,523328.6,85702.5,1190250.9,432221.7,30282,541033.5,150401.7,168538.1,594567,54319.1,169970,36543.4,270966.7,1214756.8,119655,27109.6,423351.9,356731.1,66424.2,266712.8,38342.9,847154.8,2783405.8,2246401.1,974501.8,3453389,1728901.6,511086.3,2862319.1
October 1 2006,15456928,185211.9,50346.4,281849,106466.6,2084540.9,257374.5,253424.8,60743,99741.3,841384.1,454287.9,70704.4,57771.2,708464.8,293392.7,147271.9,129931.2,172793.6,242683.6,54212.4,313178.6,402421,440526.8,280016.7,98717.2,262512.2,39140.6,91374.4,145397.6,67799.9,526015.2,86361.5,1202204,436327.4,30668.2,538972.9,150416.7,170285.4,597283.2,53483.8,171453.6,36382.2,272543.7,1239409.1,121933.3,26830.9,422906.1,362262.3,66610.4,267050.3,39329.1,858049.4,2799368.2,2248618.6,978318,3472022.6,1757758.6,515387.2,2883058.4
January 1 2007,15493328,184001.5,50707.8,282009.3,104012,2076506.4,258827.4,261497.3,61186.2,101292.3,833104.3,447229.5,70349.6,58073.6,708900,293152.8,150041.8,134050.9,170130.5,235740.1,53566.4,310325.7,401854.8,443890.1,279355.3,98527.4,259397.5,39952.9,92973,144277.8,65246.9,520567.3,85867.8,1239201,437559.7,30835.5,540309.5,152084.7,167572.3,601967.8,53214.3,171474.9,37975.1,265193.8,1248291.1,121859.1,26629.4,425068.4,365115.4,66029.5,267172.5,39699.8,861773.8,2834891.4,2253681.7,984718.5,3439010.5,1768007.7,518227.2,2873995.8
April 1 2007,15582085,185320.9,51595.1,284354.6,104804.5,2090690.9,262964.8,261637.9,62708.3,101644.4,835156.2,451114.8,70571.9,58303.8,711825.9,298239.2,152696.1,135228.6,171246.3,234265.3,54083.6,312921.3,405317.3,442953.1,283804.3,98759.8,263855.1,40416.4,93022,143494,66520.1,526589.3,86621.3,1199565.8,434785.1,31346.9,540065.8,154576.5,169649,605937.4,52240.6,174204.5,38211.7,266975.8,1275827.1,125025.4,26756.4,425607.8,375857.1,66368.1,267492.2,40207.1,866353.8,2809562,2260765.9,998287.2,3449618.2,1801111.7,526755.9,2901294.8
